Gomezle01,1933,0,ALS193307060,NYA,AL,1,1
Ferreri01,1933,0,ALS193307060,BOS,AL,1,2
Gehrilo01,1933,0,ALS193307060,NYA,AL,1,3
Gehrich01,1933,0,ALS193307060,DET,AL,1,4
Dykesji01,1933,0,ALS193307060,CHA,AL,1,5
Cronijo01,1933,0,ALS193307060,WS1,AL,1,6
Chapmbe01,1933,0,ALS193307060,NYA,AL,1,7
Simmoal01,1933,0,ALS193307060,CHA,AL,1,8
Ruthba01,1933,0,ALS193307060,NYA,AL,1,9
Averiea01,1933,0,ALS193307060,CLE,AL,1,
Crowdal01,1933,0,ALS193307060,WS1,AL,1,
Dickebi01,1933,0,ALS193307060,NYA,AL,0,
Ferrewe01,1933,0,ALS193307060,CLE,AL,0,
Foxxji01,1933,0,ALS193307060,PHA,AL,0,
Grovele01,1933,0,ALS193307060,PHA,AL,1,
Hildeor01,1933,0,ALS193307060,CLE,AL,0,
Lazzeto01,1933,0,ALS193307060,NYA,AL,0,
Westsa01,1933,0,ALS193307060,SLA,AL,1,
Hallabi01,1933,0,ALS193307060,SLN,NL,1,1
Wilsoji01,1933,0,ALS193307060,SLN,NL,1,2
Terrybi01,1933,0,ALS193307060,NY1,NL,1,3
Friscfr01,1933,0,ALS193307060,SLN,NL,1,4
Martipe01,1933,0,ALS193307060,SLN,NL,1,5
Bartedi01,1933,0,ALS193307060,PHI,NL,1,6
Hafeych01,1933,0,ALS193307060,CIN,NL,1,7
Bergewa01,1933,0,ALS193307060,BSN,NL,1,8
Kleinch01,1933,0,ALS193307060,PHI,NL,1,9
Cuccito01,1933,0,ALS193307060,BRO,NL,1,
Engliwo01,1933,0,ALS193307060,CHN,NL,1,
Hartnga01,1933,0,ALS193307060,CHN,NL,1,
Hubbeca01,1933,0,ALS193307060,NY1,NL,1,
Odoulle01,1933,0,ALS193307060,NY1,NL,1,
Schumha02,1933,0,ALS193307060,NY1,NL,0,
Traynpi01,1933,0,ALS193307060,PIT,NL,1,
Wanerpa01,1933,0,ALS193307060,PIT,NL,1,
Warnelo01,1933,0,ALS193307060,CHN,NL,1,
Gomezle01,1934,0,NLS193407100,NYA,AL,1,1
Dickebi01,1934,0,NLS193407100,NYA,AL,1,2
Gehrilo01,1934,0,NLS193407100,NYA,AL,1,3
Gehrich01,1934,0,NLS193407100,DET,AL,1,4
Foxxji01,1934,0,NLS193407100,PHA,AL,1,5
Cronijo01,1934,0,NLS193407100,WS1,AL,1,6
Manushe01,1934,0,NLS193407100,WS1,AL,1,7
Simmoal01,1934,0,NLS193407100,CHA,AL,1,8
